num_acc;catv;obs;obsm;choc;manv;num_veh
2011000187;10;9;0;9;17;A01
2011000188;7;0;2;1;1;A01
2011000188;1;0;2;3;9;B02
2011000189;7;4;0;2;15;A01
2011000189;7;4;0;1;1;B02
2011000190;30;0;0;1;0;A01
2011000191;7;0;2;2;1;B02
2011000191;7;0;2;3;1;C03
2011000191;33;0;2;1;19;A01
2011000192;7;1;0;2;1;A01
2011000193;30;0;2;4;2;A01
2011000193;7;0;2;2;2;B02
2011000194;7;0;1;2;1;A01
2011000195;1;0;2;1;13;A01
2011000195;7;0;2;1;1;B02
2011000196;10;2;0;1;1;A01
2011000197;7;2;0;7;14;A01
2011000198;7;6;0;8;13;A01
2011000199;33;0;2;1;1;B02
2011000199;7;0;2;3;6;A01
2011000200;7;0;2;8;15;B02
2011000200;30;0;2;7;17;A01
2011000201;7;6;0;1;0;A01
2011000202;1;0;2;1;17;A01
2011000202;7;0;9;8;1;B02
2011000203;33;0;2;8;1;A01
2011000204;7;0;0;1;17;A01
2011000205;7;3;0;3;2;A01
2011000206;7;3;0;2;1;A01
2011000207;7;4;0;1;21;A01
2011000208;7;0;2;7;17;A01
2011000208;14;0;2;8;1;B02
2011000209;7;3;0;1;1;A01
2011000210;7;4;0;3;2;A01
2011000211;7;3;0;3;1;A01
2011000212;10;13;0;1;17;A01
2011000213;33;0;2;1;1;A01
2011000213;7;0;2;2;15;B02
2011000214;7;2;0;0;1;A01
2011000215;7;0;1;2;2;A01
2011000216;7;0;2;7;1;C03
2011000216;7;0;2;1;1;A01
2011000216;7;0;2;3;15;B02
2011000217;7;0;9;1;1;A01
2011000217;1;0;2;4;0;B02
2011000218;7;6;0;3;13;A01
2011000219;7;0;0;4;1;B02
2011000219;7;0;2;1;1;A01
2011000219;7;0;2;1;13;C03
2011000220;10;2;0;3;13;A01
2011000221;7;0;1;2;1;A01
2011000222;7;0;2;3;17;A01
2011000222;7;0;2;3;0;B02
2011000223;14;0;2;3;1;B02
2011000223;7;0;2;1;1;C03
2011000223;10;0;2;3;13;A01
2011000224;33;6;0;1;1;A01
2011000225;20;0;2;3;6;B02
2011000225;32;0;2;2;1;A01
2011000226;7;2;0;3;1;A01
2011000227;7;2;0;7;1;A01
2011000228;7;2;0;1;15;A01
2011000229;15;0;0;0;1;A01
2011000230;7;16;0;9;1;A01
2011000231;7;16;0;1;1;A01
2011000232;7;0;1;3;15;A01
2011000233;7;6;0;1;15;A01
2011000234;7;2;0;8;13;A01
2011000235;7;0;2;1;0;A01
2011000235;31;0;0;7;0;B02
2011000236;7;0;0;7;24;A01
2011000236;31;1;0;1;15;B02
2011000237;7;4;0;2;1;A01
2011000238;7;0;1;2;1;A01
2011000239;7;0;0;3;13;A01
2011000239;1;0;2;1;1;B02
2011000240;7;0;1;3;1;A01
2011000241;7;0;1;3;21;A01
2011000242;7;2;0;1;1;A01
2011000243;7;2;0;2;1;A01
2011000244;7;0;1;8;1;A01
2011000245;33;0;0;7;1;A01
2011000246;7;0;2;2;17;B02
2011000246;7;0;0;6;2;A01
2011000247;33;8;0;9;1;A01
2011000248;7;0;0;1;13;A01
2011000249;30;0;2;1;17;A01
2011000249;7;0;2;3;1;B02
2011000250;7;2;0;1;1;A01
2011000251;7;0;9;7;1;B02
2011000251;1;0;2;1;1;A01
2011000252;7;0;2;3;13;A01
2011000252;21;0;2;6;1;B02
2011000253;7;0;2;1;13;A01
2011000253;7;0;2;1;1;B02
2011000254;15;0;2;2;1;B02
2011000254;7;0;2;1;19;A01
2011000255;31;12;0;1;21;A01
2011000256;7;8;0;2;1;A01
2011000257;7;6;0;2;1;A01
2011000258;7;0;0;5;0;A01
2011000259;7;0;2;8;12;B02
2011000259;7;2;2;7;17;A01
2011000260;2;0;0;4;13;B02
2011000260;7;0;0;2;17;A01
2011000261;7;0;1;2;1;A01
2011000262;7;0;2;8;19;A01
2011000262;33;0;2;1;1;B02
2011000263;7;2;0;9;21;A01
