Num_Acc;catr;circ;prof;surf;infra;situ
2015000289;3;2;1;2;0;1
2015000290;3;2;1;1;0;1
2015000291;3;2;1;1;0;1
2015000292;4;2;0;2;0;0
2015000293;3;2;1;1;0;1
2015000294;3;2;1;1;0;1
2015000295;4;2;1;1;0;1
2015000296;3;3;3;1;5;1
2015000297;3;2;1;2;0;3
2015000298;4;2;1;1;0;1
2015000299;3;2;1;1;0;1
2015000300;3;0;1;1;0;1
2015000301;3;2;2;1;0;1
2015000302;4;1;1;1;0;1
2015000303;4;1;1;1;0;1
2015000304;4;2;1;1;0;1
2015000305;4;2;3;2;0;1
2015000306;3;2;1;1;0;1
2015000307;3;2;0;1;0;1
2015000308;4;2;0;1;0;3
2015000309;3;2;0;1;0;3
2015000310;3;2;3;2;0;1
2015000311;3;2;1;1;0;1
2015000312;3;2;0;1;0;3
2015000313;3;2;0;1;0;1
2015000314;3;2;3;1;0;3
2015000315;3;2;0;1;0;1
2015000316;3;2;1;2;0;1
2015000317;3;3;0;1;0;1
2015000318;3;2;1;1;0;1
2015000319;3;2;2;1;0;4
2015000320;3;2;1;1;0;1
2015000321;3;2;2;1;0;1
2015000322;3;2;1;2;0;1
2015000323;3;2;0;2;0;3
2015000324;2;2;0;2;0;3
2015000325;3;2;1;1;5;1
2015000326;3;2;0;1;0;3
2015000327;3;2;1;1;0;1
2015000328;4;2;2;1;0;1
2015000329;3;2;1;1;0;1
2015000330;3;2;1;1;0;1
2015000331;3;2;2;1;0;1
2015000332;4;0;0;2;0;0
2015000333;3;2;1;1;0;1
2015000334;3;3;1;1;5;1
2015000335;3;2;1;1;0;1
2015000336;9;0;0;1;6;1
2015000337;3;2;1;1;0;1
2015000338;3;2;1;1;0;1
2015000339;3;2;1;1;0;1
2015000340;4;0;0;1;0;1
2015000341;4;2;1;1;0;1
2015000342;4;2;1;1;0;1
2015000343;9;0;1;1;6;1
2015000344;4;2;1;1;6;1
2015000345;3;2;1;2;0;3
2015000346;3;2;1;1;0;1
2015000347;3;3;0;1;0;0
2015000348;4;0;1;1;0;1
2015000349;9;2;0;1;0;4
2015000350;4;2;2;1;;
2015000351;3;2;0;1;0;1
2015000352;3;2;0;1;0;1
2015000353;2;3;2;1;0;1
2015000354;3;2;1;0;0;1
2015000355;3;2;;;0;1
2015000356;3;2;4;2;0;1
2015000357;3;2;1;2;0;1
2015000358;3;2;1;1;0;4
2015000359;3;2;1;1;2;1
2015000360;3;2;1;1;0;1
2015000361;3;2;2;1;0;1
2015000362;3;2;1;2;0;1
2015000363;3;2;1;1;5;1
2015000364;3;2;0;1;0;1
2015000365;3;2;1;1;0;1
2015000366;3;2;1;1;0;1
2015000367;3;2;0;1;0;1
2015000368;3;2;1;1;0;1
2015000369;3;2;1;1;0;1
2015000370;3;2;1;1;0;3
2015000371;3;2;0;1;0;3
2015000372;4;2;1;1;0;1
2015000373;3;2;0;2;0;4
2015000374;3;2;1;1;0;1
2015000375;3;2;1;2;0;1
2015000376;3;2;1;1;0;1
2015000377;3;2;1;1;0;3
2015000378;4;2;1;2;0;1
2015000379;3;2;1;2;0;4
2015000380;3;2;1;1;0;1
2015000381;3;2;2;1;0;1
2015000382;3;2;1;2;0;1
2015000383;3;2;1;1;0;1
2015000384;3;2;0;1;0;3
2015000385;4;2;0;0;0;1
2015000386;3;2;0;1;0;3
2015000387;3;2;1;1;0;1
2015000388;3;2;0;1;0;1
2015000389;4;1;1;1;0;1
2015000390;3;2;2;2;0;3
2015000391;3;2;3;1;0;1
2015000392;3;2;1;1;0;1
2015000393;3;2;1;2;0;1
2015000394;3;2;0;1;0;1
2015000395;3;2;3;1;0;3
2015000396;3;2;0;1;0;1
2015000397;3;2;0;2;0;1
2015000398;3;3;2;1;0;1
2015000399;3;2;0;1;0;1
2015000400;3;2;2;6;0;1
2015000401;3;2;2;2;0;3
2015000402;3;2;2;2;0;3
2015000403;3;2;0;1;5;0
2015000404;3;2;0;1;0;1
2015000405;3;2;1;1;0;3
2015000406;3;2;2;1;0;1
2015000407;4;2;1;1;0;1
2015000408;3;2;1;1;0;1
2015000409;3;2;1;1;0;1
2015000410;3;2;2;2;0;1
2015000411;3;2;1;1;0;1
2015000412;2;2;3;1;0;3
2015000413;3;2;3;1;0;1
2015000414;4;2;2;2;0;1
2015000415;3;2;1;1;0;1
2015000416;2;2;2;1;0;1
2015000417;3;2;0;1;0;1
2015000418;3;2;1;2;0;1
2015000419;2;2;3;1;0;1
2015000420;3;2;1;1;0;1
2015000421;2;2;1;2;0;1
2015000422;3;2;1;1;0;1
2015000423;3;2;0;1;0;1
2015000424;3;2;0;0;0;3
2015000425;3;2;1;1;0;3
2015000426;2;2;0;1;0;1
2015000427;3;2;1;2;0;1
2015000428;3;2;1;1;0;1
2015000429;3;2;1;1;5;1
2015000430;4;2;1;1;0;1
2015000431;4;2;2;1;0;1
2015000432;3;2;1;1;0;1
2015000433;3;2;1;0;0;1
2015000434;3;2;2;1;0;1
2015000435;3;2;3;1;0;1
2015000436;2;2;1;0;2;1
2015000437;3;2;1;1;0;1
2015000438;4;2;1;1;0;3
2015000439;3;2;3;1;0;1
2015000440;4;2;1;1;0;4
2015000441;3;2;1;1;5;1
2015000442;3;2;1;1;0;3
2015000443;4;2;1;1;0;1
2015000444;3;2;2;1;0;1
2015000445;3;2;0;1;0;1
2015000446;2;2;1;1;0;3
2015000447;2;2;2;1;0;1
2015000448;3;2;1;1;0;1
2015000449;3;2;1;1;0;1
2015000450;3;2;1;1;0;1
2015000451;3;2;1;1;0;1
2015000452;3;0;0;1;0;1
2015000453;4;2;0;1;0;1
2015000454;3;2;0;1;0;1
2015000455;3;2;1;1;0;1
2015000456;3;2;2;1;0;4
2015000457;3;2;1;1;0;1
2015000458;3;2;1;2;0;1
2015000459;3;2;0;1;5;1
2015000460;3;2;1;1;0;3
2015000461;3;2;0;0;0;1
2015000462;4;2;2;1;0;1
2015000463;3;2;1;1;0;3
2015000464;3;2;0;2;0;1
2015000465;3;0;0;0;0;0
2015000466;3;4;2;2;0;1
2015000467;3;2;0;1;0;1
2015000468;3;3;1;1;0;1
2015000469;3;2;2;1;6;1
2015000470;3;2;1;1;0;3
2015000471;3;2;1;1;0;1
2015000472;3;2;1;1;0;1
2015000473;3;2;0;0;0;0
2015000474;4;2;2;2;0;3
2015000475;3;2;4;2;0;3
2015000476;3;2;2;2;0;1
2015000477;3;2;1;1;0;1
2015000478;3;2;3;1;0;1
2015000479;3;2;1;2;0;1
2015000480;3;2;2;1;0;1
2015000481;4;1;1;1;0;1
2015000482;3;2;2;1;0;1
2015000483;3;2;1;1;0;1
2015000484;4;2;2;0;0;1
2015000485;3;2;3;0;5;1
2015000486;3;2;1;1;0;1
2015000487;4;2;2;1;0;1
2015000488;4;1;1;1;0;1
2015000489;3;2;0;1;0;1
2015000490;3;2;2;1;0;4
2015000491;3;3;0;1;3;3
2015000492;3;0;0;0;0;0
2015000493;4;2;1;1;5;1
2015000494;3;2;0;1;5;1
2015000495;4;2;0;1;0;1
2015000496;3;3;1;1;5;1
2015000497;3;2;2;2;0;1
2015000498;3;2;1;2;0;1
2015000499;3;4;1;2;5;1
2015000500;3;0;0;2;0;0
2015000501;3;2;1;1;5;1
2015000502;3;2;1;2;0;3
2015000503;3;3;1;1;5;1
2015000504;3;2;1;1;0;1
2015000505;3;1;0;0;0;4
2015000506;3;2;0;1;0;1
2015000507;3;2;0;1;0;1
2015000508;4;2;1;1;0;1
2015000509;9;2;2;1;2;1
2015000510;3;3;1;1;0;1
2015000511;3;2;1;1;0;1
2015000512;3;3;1;1;0;1
2015000513;3;2;2;1;0;3
2015000514;3;3;1;1;0;1
2015000515;3;2;2;2;0;1
2015000516;3;2;1;9;0;1
2015000517;2;2;1;2;0;3
2015000518;2;2;1;1;0;1
2015000519;3;2;0;1;0;3
2015000520;3;2;1;1;0;1
2015000521;3;2;3;1;0;1
2015000522;3;2;1;1;0;1
2015000523;3;2;4;2;0;3
2015000524;3;2;0;2;0;4
2015000525;3;2;0;2;0;3
2015000526;3;2;1;0;0;1
2015000527;3;2;1;2;0;1
2015000528;4;1;1;1;0;1
2015000529;3;2;0;1;0;3
2015000530;3;2;4;1;0;1
2015000531;3;2;1;1;0;1
2015000532;3;2;0;0;5;0
2015000533;3;2;1;1;0;1
2015000534;3;2;1;1;0;1
2015000535;3;0;0;0;0;0
2015000536;3;2;2;1;0;1
2015000537;3;2;1;1;0;1
2015000538;3;2;1;1;0;1
2015000539;3;2;1;1;0;1
2015000540;6;2;2;1;0;1
2015000541;3;2;1;1;0;1
2015000542;3;0;1;1;0;4
2015000543;3;3;1;1;5;1
2015000544;4;2;1;1;5;1
2015000545;3;2;1;1;0;1
2015000546;3;2;1;1;0;1
2015000547;3;1;1;2;5;1
2015000548;3;0;0;0;0;0
2015000549;3;2;1;2;0;1
2015000550;3;2;2;1;0;1
2015000551;3;2;1;2;0;3
2015000552;2;2;0;1;0;1
2015000553;3;2;4;1;0;0
2015000554;2;3;0;1;0;2
2015000555;4;0;0;1;6;0
2015000556;3;2;2;1;0;1
2015000557;2;0;0;0;0;0
2015000558;3;2;1;1;0;1
2015000559;4;1;1;1;0;1
2015000560;4;2;1;1;5;1
2015000561;4;2;1;1;0;1
2015000562;3;2;1;2;0;1
2015000563;4;2;3;1;0;1
2015000564;3;2;1;1;0;1
2015000565;4;2;2;1;0;1
2015000566;4;2;1;1;0;4
